name,country,calories,fat,carbs,protein,avg_rating,prep_time,cook_time,total_time,servings,pct_fat,pct_carbs,pct_protein
Russian Cabbage Pie,Russian,431.0,30.0,33.0,9.0,5.0,15,70,95,8.0,0.6264501160092807,0.3062645011600928,0.08352668213457076
Jamaican Oxtail with Broad Beans,Jamaican,425.0,22.0,18.0,39.0,4.6,30,45,75,4.0,0.46588235294117647,0.16941176470588235,0.36705882352941177
Swiss Steak Quick and Easy,Swiss,471.0,14.0,58.0,30.0,4.4,20,60,80,6.0,0.267515923566879,0.49256900212314225,0.25477707006369427
Abade Prisco's Pudding,Portuguese,427.0,10.0,77.0,7.0,1.0,30,75,165,8.0,0.2107728337236534,0.7213114754098361,0.06557377049180328
Brazilian Broa (Corn Bread),Brazilian,117.0,3.0,22.0,2.0,3.9,10,10,20,24.0,0.23076923076923078,0.7521367521367521,0.06837606837606838
Ham with Red Eye Gravy,Soul Food,214.0,17.0,1.0,14.0,4.3,10,20,30,4.0,0.7149532710280374,0.018691588785046728,0.2616822429906542
Pork and Black Bean Stew,Brazilian,482.0,27.0,27.0,33.0,4.4,20,40,60,4.0,0.504149377593361,0.22406639004149378,0.27385892116182575
Remoulade Sauce à la New Orleans,Cajun and Creole,359.0,37.0,7.0,1.0,4.7,20,0,20,6.0,0.9275766016713092,0.07799442896935933,0.011142061281337047
Krumkake II,Norwegian,106.0,4.0,15.0,2.0,4.4,0,0,0,18.0,0.33962264150943394,0.5660377358490566,0.07547169811320754
Mojo Shrimp,Cuban,318.0,22.0,12.0,20.0,4.9,30,15,105,4.0,0.6226415094339622,0.1509433962264151,0.25157232704402516
Pierogi Casserole,Polish,626.0,41.0,48.0,19.0,4.2,45,45,90,8.0,0.5894568690095847,0.30670926517571884,0.12140575079872204
Chef John's Picadillo,Cuban,485.0,27.0,26.0,37.0,4.7,10,45,55,4.0,0.5010309278350515,0.21443298969072164,0.30515463917525776
Korean Tofu and Vegetable Soup,Korean,289.0,12.0,25.0,26.0,3.7,20,15,35,4.0,0.3737024221453287,0.3460207612456747,0.35986159169550175
Easy Swedish Meatball Sauce,Scandinavian,393.0,32.0,12.0,15.0,4.4,5,15,20,4.0,0.732824427480916,0.12213740458015267,0.15267175572519084
Sautéed Fiddleheads,Canadian,80.0,7.0,3.0,2.0,4.8,15,15,30,6.0,0.7875,0.15,0.1
Korean-Style Cucumber Salad,Korean,98.0,7.0,8.0,3.0,4.0,20,5,25,2.0,0.6428571428571429,0.32653061224489793,0.12244897959183673
Indian Chicken Curry,Indian,313.0,22.0,14.0,19.0,4.3,20,25,45,4.0,0.6325878594249201,0.17891373801916932,0.24281150159744408
Polish Egg Bread,Polish,413.0,10.0,67.0,13.0,4.6,40,35,225,30.0,0.2179176755447942,0.648910411622276,0.12590799031476999
Easy Red Beans and Rice,Cajun and Creole,289.0,6.0,42.0,16.0,4.4,10,30,40,8.0,0.18685121107266436,0.5813148788927336,0.22145328719723184
Kotlet Schabowy (Polish Breaded Pork Chop),Polish,332.0,22.0,15.0,18.0,4.5,10,10,20,2.0,0.5963855421686747,0.18072289156626506,0.21686746987951808
Argentine Meat Empanadas,Argentinian,498.0,37.0,28.0,15.0,4.2,45,35,80,10.0,0.6686746987951807,0.2248995983935743,0.12048192771084337
Red Salad,Peruvian,230.0,3.0,48.0,5.0,4.3,15,120,135,4.0,0.11739130434782609,0.8347826086956521,0.08695652173913043
Ginger Chicken,Chinese,547.0,20.0,40.0,46.0,4.9,15,30,45,4.0,0.3290676416819013,0.29250457038391225,0.33638025594149906
Southern-Style Banana Split Cake,Southern Recipes,748.0,46.0,79.0,12.0,4.9,30,0,120,12.0,0.553475935828877,0.42245989304812837,0.06417112299465241
Chicken Curry Puffs,Malaysian,424.0,25.0,36.0,14.0,4.5,30,50,90,9.0,0.5306603773584906,0.33962264150943394,0.1320754716981132
Empanadas Salteñas,Argentinian,260.0,14.0,25.0,9.0,5.0,30,40,110,12.0,0.4846153846153846,0.38461538461538464,0.13846153846153847
Celery Herb Stuffing and Savory Chicken,Canadian,599.0,40.0,19.0,40.0,4.0,20,75,95,5.0,0.6010016694490818,0.12687813021702837,0.2671118530884808
My Own Famous Stuffed Grape Leaves,Greek,303.0,19.0,31.0,4.0,4.6,45,75,150,12.0,0.5643564356435643,0.40924092409240925,0.052805280528052806
Russian Chicken Stew with Potatoes and Vegetables,Russian,408.0,6.0,54.0,34.0,4.4,20,26,46,4.0,0.1323529411764706,0.5294117647058824,0.3333333333333333
Gujarati Kadhi,Indian,185.0,9.0,19.0,8.0,3.9,5,20,25,4.0,0.43783783783783786,0.41081081081081083,0.17297297297297298
My Mango Lassi,Indian,228.0,10.0,24.0,12.0,4.7,10,0,10,2.0,0.39473684210526316,0.42105263157894735,0.21052631578947367
South African Bobotie,South African,230.0,13.0,15.0,15.0,4.3,20,70,90,6.0,0.508695652173913,0.2608695652173913,0.2608695652173913
Easy Enchilada Casserole,Tex-Mex,576.0,29.0,47.0,33.0,4.3,10,60,75,9.0,0.453125,0.3263888888888889,0.22916666666666666
Spicy Thai Noodle Salad with Peanut Dressing,Thai,193.0,14.0,14.0,4.0,3.0,20,5,25,6.0,0.6528497409326425,0.29015544041450775,0.08290155440414508
"Cream Puff ""Crack Buns"" (Choux au Craquelin)",Belgian,257.0,16.0,26.0,4.0,4.8,20,30,140,8.0,0.5603112840466926,0.4046692607003891,0.0622568093385214
Tzatziki Sauce,Greek,75.0,4.0,6.0,3.0,4.2,15,0,15,8.0,0.48,0.32,0.16
Korean Fried Chicken Sauce,Korean,50.0,0.0,13.0,1.0,4.6,10,5,45,6.0,0.0,1.04,0.08
Authentic Seafood Paella,Spanish,784.0,20.0,74.0,53.0,4.5,20,35,55,2.0,0.22959183673469388,0.37755102040816324,0.27040816326530615
French Crêpes,French,94.0,4.0,10.0,4.0,4.6,5,25,30,12.0,0.3829787234042553,0.425531914893617,0.1702127659574468
Air Fryer Potato-Apple Latkes,Jewish,178.0,11.0,18.0,3.0,4.0,15,20,35,8.0,0.5561797752808989,0.4044943820224719,0.06741573033707865
Air Fryer Tofu Milanesa,Tex-Mex,244.0,11.0,19.0,18.0,5.0,10,25,35,2.0,0.4057377049180328,0.3114754098360656,0.29508196721311475
Empanada Dough,Filipino,62.0,1.0,11.0,1.0,3.6,20,0,20,24.0,0.14516129032258066,0.7096774193548387,0.06451612903225806
Pumpkin Mochi,Japanese,539.0,21.0,83.0,8.0,4.6,10,60,70,12.0,0.35064935064935066,0.6159554730983302,0.059369202226345084
Vinagrete (Brazilian Tomato Slaw),Brazilian,93.0,7.0,7.0,1.0,4.9,35,0,215,8.0,0.6774193548387096,0.3010752688172043,0.043010752688172046
Abuela's Picadillo,Cuban,378.0,22.0,22.0,24.0,4.8,15,70,85,8.0,0.5238095238095238,0.2328042328042328,0.25396825396825395
Oktoberfest Chicken and Red Cabbage,German,271.0,9.0,24.0,23.0,4.6,20,85,105,8.0,0.2988929889298893,0.35424354243542433,0.33948339483394835
Mojitos by the Pitcher,Cuban,160.0,0.0,20.0,0.0,4.9,10,0,10,6.0,0.0,0.5,0.0
Tembleque,Puerto Rican,470.0,21.0,74.0,2.0,3.0,15,13,163,8.0,0.4021276595744681,0.6297872340425532,0.01702127659574468
Authentic Paella,Spanish,591.0,22.0,54.0,42.0,4.7,50,45,105,8.0,0.3350253807106599,0.36548223350253806,0.28426395939086296
Perfect Pot Stickers,Chinese,439.0,19.0,46.0,20.0,4.7,25,5,60,6.0,0.3895216400911162,0.4191343963553531,0.18223234624145787
Tuscan Pork Tenderloin,French,169.0,5.0,1.0,30.0,4.6,5,20,30,16.0,0.26627218934911245,0.023668639053254437,0.7100591715976331
Pavlova Deluxe,Australian and New Zealander,254.0,14.0,30.0,4.0,4.8,0,0,0,8.0,0.49606299212598426,0.47244094488188976,0.06299212598425197
Wiener Schnitzel,German,515.0,29.0,34.0,29.0,4.8,15,15,90,4.0,0.5067961165048543,0.26407766990291265,0.22524271844660193
Baked Cuban Chicken,Cuban,270.0,13.0,10.0,28.0,4.4,15,50,125,6.0,0.43333333333333335,0.14814814814814814,0.4148148148148148
Malaysian Lady Fingers (Okra),Malaysian,97.0,4.0,9.0,7.0,5.0,20,10,30,4.0,0.3711340206185567,0.3711340206185567,0.28865979381443296
Peruvian Potato-Chicken Salad (Causa Rellena),Peruvian,658.0,49.0,41.0,19.0,5.0,40,25,125,4.0,0.6702127659574468,0.24924012158054712,0.11550151975683891
Coconut Curry Salmon with Broccoli,Thai,522.0,39.0,17.0,29.0,4.8,20,15,35,6.0,0.6724137931034483,0.13026819923371646,0.2222222222222222
Buffalo Shrimp,Cajun and Creole,626.0,32.0,54.0,30.0,4.7,15,10,40,4.0,0.46006389776357826,0.3450479233226837,0.19169329073482427
Turkish Red Lentil 'Bride' Soup,Turkish,442.0,14.0,64.0,19.0,4.7,10,75,85,4.0,0.2850678733031674,0.579185520361991,0.17194570135746606
Chimichurri Roasted Potatoes,Argentinian,291.0,14.0,39.0,5.0,5.0,15,35,55,4.0,0.4329896907216495,0.5360824742268041,0.06872852233676977
Cocada (Brazilian Coconut Sweet),Brazilian,155.0,11.0,14.0,3.0,3.0,5,20,55,20.0,0.6387096774193548,0.36129032258064514,0.07741935483870968
Chinese Pepper Steak,Chinese,312.0,15.0,17.0,26.0,4.6,15,15,30,4.0,0.4326923076923077,0.21794871794871795,0.3333333333333333
Siopao (Filipino Steamed Dumplings),Filipino,346.0,11.0,44.0,16.0,3.3,45,30,115,15.0,0.2861271676300578,0.5086705202312138,0.18497109826589594
Jamaican Jerk Shrimp in Foil,Jamaican,299.0,16.0,15.0,24.0,3.5,15,15,30,4.0,0.4816053511705686,0.20066889632107024,0.3210702341137124
Avocado and Tuna Tapas,Spanish,294.0,18.0,11.0,24.0,4.7,20,0,20,4.0,0.5510204081632653,0.14965986394557823,0.32653061224489793
Thai Hot and Sour Soup,Thai,71.0,2.0,5.0,9.0,4.8,10,15,25,6.0,0.2535211267605634,0.28169014084507044,0.5070422535211268
Cuban Picadillo,Cuban,539.0,28.0,45.0,33.0,4.5,25,30,55,8.0,0.4675324675324675,0.3339517625231911,0.24489795918367346
Oyakodon (Japanese Chicken and Egg Rice Bowl),Japanese,688.0,15.0,98.0,35.0,4.5,10,30,40,4.0,0.19622093023255813,0.5697674418604651,0.20348837209302326
Vietnamese Caramelized Pork,Vietnamese,657.0,35.0,57.0,30.0,4.4,15,20,35,4.0,0.4794520547945205,0.3470319634703196,0.182648401826484
Eggs in Purgatory,Italian,245.0,20.0,10.0,9.0,4.8,5,15,20,2.0,0.7346938775510204,0.16326530612244897,0.1469387755102041
Churrascaria-Style Picanha,Brazilian,143.0,8.0,2.0,16.0,4.9,15,15,60,5.0,0.5034965034965035,0.055944055944055944,0.44755244755244755
Baked Rigatoni,Italian,580.0,26.0,54.0,32.0,4.8,20,60,80,12.0,0.40344827586206894,0.3724137931034483,0.2206896551724138
Instant Pot® Puerto Rican Arroz con Pollo,Puerto Rican,632.0,25.0,66.0,34.0,3.5,10,40,70,8.0,0.3560126582278481,0.4177215189873418,0.21518987341772153
Crispy Chinese Noodles,Chinese,151.0,6.0,20.0,3.0,4.8,5,15,20,8.0,0.3576158940397351,0.5298013245033113,0.07947019867549669
My Chicken Pho Recipe,Vietnamese,521.0,14.0,54.0,50.0,4.4,10,30,40,2.0,0.2418426103646833,0.4145873320537428,0.3838771593090211
Roscoe's Chicken 65,Indian,394.0,14.0,38.0,31.0,4.3,20,5,25,8.0,0.3197969543147208,0.38578680203045684,0.3147208121827411
Easy Hamantaschen,Jewish,247.0,8.0,40.0,4.0,4.4,15,15,30,24.0,0.291497975708502,0.6477732793522267,0.06477732793522267
Korean Soft Tofu Stew (Soon Du Bu Jigae),Korean,242.0,17.0,7.0,20.0,4.1,5,15,20,2.0,0.6322314049586777,0.11570247933884298,0.3305785123966942
Panang Curry with Tofu and Vegetables,Thai,765.0,39.0,91.0,21.0,4.6,20,45,65,4.0,0.4588235294117647,0.47581699346405226,0.10980392156862745
Grandmother's Buttermilk Cornbread,Southern Recipes,284.0,12.0,39.0,5.0,4.8,15,30,45,9.0,0.38028169014084506,0.5492957746478874,0.07042253521126761
Orange Pikelets,Australian and New Zealander,79.0,0.0,18.0,1.0,4.3,10,4,24,8.0,0.0,0.9113924050632911,0.05063291139240506
Jalapeño Jelly,Canadian,109.0,0.0,28.0,0.0,4.8,15,45,60,32.0,0.0,1.0275229357798166,0.0
Amish Buttered Egg Noodles,Amish and Mennonite,260.0,7.0,41.0,9.0,4.8,5,15,50,6.0,0.2423076923076923,0.6307692307692307,0.13846153846153847
Rabbit Fricassee Cuban-Style,Cuban,578.0,22.0,46.0,48.0,4.2,30,45,75,6.0,0.34256055363321797,0.31833910034602075,0.33217993079584773
Lower Fat Amish Macaroni Salad,Amish and Mennonite,228.0,5.0,38.0,7.0,4.6,15,10,175,12.0,0.19736842105263158,0.6666666666666666,0.12280701754385964
"Super-Simple, Super-Spicy Mongolian Beef",Chinese,200.0,12.0,8.0,15.0,4.6,15,10,85,4.0,0.54,0.16,0.3
Brigadeiro Chocolate Delights,Brazilian,97.0,4.0,15.0,2.0,5.0,10,15,85,25.0,0.3711340206185567,0.6185567010309279,0.08247422680412371
Whole Rice and Lentils (Majadara),Israeli,207.0,8.0,29.0,7.0,4.4,15,50,65,8.0,0.34782608695652173,0.5603864734299517,0.13526570048309178
Mamon (Sponge Cakes),Filipino,243.0,9.0,35.0,5.0,4.8,20,40,70,16.0,0.3333333333333333,0.5761316872427984,0.0823045267489712
Semla (Swedish Fat Tuesday Buns),Scandinavian,515.0,28.0,58.0,9.0,5.0,45,15,200,12.0,0.4893203883495146,0.45048543689320386,0.06990291262135923
