AGE,female,married,educ_cat,faminc_mid,metro_binary,race_cat,us_citizen,has_children,insured,OCC,IND,INCWAGE,FIRMSIZE,NCHILD,YEAR,STATEFIP,worker_cat,employed
30,0,0,4,45000,1,White,1,0,1,4760,4795,35000,1,0,2020,50,Private for-profit,1
30,1,1,4,67500,1,Asian,0,0,1,750,5170,54000,5,0,2020,50,Private for-profit,1
27,1,0,5,200000,1,White,1,0,1,2850,7890,0,9,0,2020,50,Part-time,1
27,1,0,4,125000,1,White,1,0,1,120,7290,105000,9,0,2020,50,Private for-profit,1
30,1,1,4,200000,1,White,1,1,1,9030,6070,75000,9,1,2020,50,Private for-profit,1
27,0,0,4,200000,1,White,1,0,1,2850,5593,8916,5,0,2020,50,Private for-profit,1
30,1,0,4,17500,1,White,1,0,1,3602,9480,20000,9,0,2020,50,Government,1
30,1,1,4,125000,1,White,1,0,1,4800,6670,27000,1,0,2020,50,Private for-profit,1
30,1,1,5,200000,1,White,1,0,1,2100,7270,58000,9,0,2020,50,Private for-profit,1
28,0,0,4,87500,1,White,1,0,1,1310,7290,42000,7,0,2020,50,Unemployed,0
30,1,0,5,125000,1,White,1,0,1,3000,7990,45000,1,0,2020,50,Self-employed,1
30,1,0,5,67500,1,White,1,0,1,3090,8191,38000,9,0,2020,50,Private for-profit,1
30,0,0,4,67500,1,White,0,0,1,110,7380,72000,7,0,2020,50,Private for-profit,1
27,1,0,4,87500,1,White,1,0,1,440,8563,50000,2,0,2020,50,Private for-profit,1
22,0,0,4,87500,1,White,1,0,1,2016,9170,47000,2,0,2020,50,Private for-profit,1
23,1,0,4,67500,1,Other,1,0,1,3321,8192,11000,9,0,2020,50,Government,1
25,1,0,4,87500,1,White,1,0,1,2545,7860,1800,5,0,2020,50,Government,1
27,0,1,4,200000,1,White,1,0,1,1450,2370,85000,9,0,2020,50,Private for-profit,1
25,1,1,5,200000,1,White,1,0,1,3258,7970,90000,9,0,2020,50,Government,1
27,1,0,4,87500,1,White,1,0,1,3255,8191,75000,9,0,2020,50,Private for-profit,1
29,1,1,4,200000,1,White,1,1,1,120,7380,110000,9,1,2020,25,Private for-profit,1
23,0,0,4,200000,1,White,1,0,1,7315,770,8500,5,0,2020,25,Private for-profit,1
29,0,1,4,200000,1,White,1,1,1,1050,7780,56000,9,1,2020,25,Private for-profit,1
28,0,1,5,200000,1,White,1,0,1,930,7280,98000,2,0,2020,25,Private for-profit,1
28,1,1,4,200000,1,White,1,0,1,4700,5080,36000,9,0,2020,25,Private for-profit,1
30,1,0,4,125000,1,White,1,0,1,4800,7470,85002,2,0,2020,25,Private for-profit,1
25,0,0,5,125000,1,White,1,0,1,2310,7860,52000,7,0,2020,25,Government,1
29,1,1,5,200000,1,White,1,0,1,2014,7860,68000,9,0,2020,25,Government,1
30,0,1,4,200000,1,White,1,0,1,9620,6170,100000,9,0,2020,25,Self-employed,1
27,1,0,4,55000,1,Asian,1,0,1,5522,9370,55000,9,0,2020,25,Government,1
25,0,0,4,125000,1,Black,0,0,1,9142,6190,70000,2,0,2020,25,Private for-profit,1
25,0,0,4,200000,1,Other,1,0,1,9645,5593,27000,9,0,2020,25,Private for-profit,1
23,1,0,4,2500,1,Black,0,0,1,8300,9070,12000,9,0,2020,25,Part-time,1
30,0,0,5,37500,1,White,0,0,1,230,7770,25000,9,0,2020,25,Private for-profit,1
22,0,0,4,55000,1,Black,1,0,1,2545,7860,20280,7,0,2020,25,Government,1
25,0,0,4,125000,1,Black,1,0,1,4965,7380,26000,9,0,2020,25,Private for-profit,1
